PhaseID,C14Age,C14SD,LabID
IsPZ,13600,460,UCLA-1714D
N,13600,900,Gd-4476
MXIV2,13690,740,MC-992
MXIV2,13750,285,QC-201
MXIV1,13800,150,RT-473A
MXIV1,13800,130,SMU-225
MXIV2,13830,490,RT-447d
MXIV1,13900,400,RT-417
MXVIII,13930,110,SMU-217
QBD/E,13930,120,Pta-2158
MXIV2,14100,100,RT-473b
QBG,14130,160,Pta-2159
MXVII,14170,480,SMU-661
IsPZ,14210,80,GrN-6358
Md,14300,650,KN-3593
MXIV2,14330,120,SMU-226
IsPZ,14350,280,UCLA-1703A
UeR,14440,150,OxA-1503
IsPZ,14480,75,GrN-6357
Ar1,14500,190,SMU-2373
UeR,14650,120,OxA-2837
WJ10,14790,200,OxA-520
UeR,14800,130,OxA-2839
TaBE,14850,160,TO-991
UeR,14860,130,OxA-2836
UeR,14880,120,OxA-2840
UeR,14980,130,OxA-2842
UeR,15050,160,OxA-2838
UeR,15190,130,OxA-2835
KIVD,15200,450,KN-4192
Md,15300,600,KN-3594
RC,15460,200,I-7031
WJ6A,15470,130,AA-5492
WJ6A,15520,200,OxA-524
OII,15550,130,RT-1246
Whs1065,15580,259,UA-4392
EGI4,15700,415,GrN-5576
KIVD,15700,160,KN-4193
UeR,15730,130,OxA-2841
NOTK,15800,300,UCLA-1776A
Whs1065,15860,430,UA-4394
WJ6A,16010,200,OxA-525
HamIV,16230,200,OxA-2143
Whs1065,16570,380,UA-4390
WJ6A,16575,120,AA-5491
Whs1065,16670,270,Beta-57900
WJ6A,16695,120,AA-5493
WJ6A,16700,140,AA-5494
WH31,16740,220,ANU-4654
Whs1065,16790,340,UA-4393
NOTK,16880,340,UCLA-1776B
Whs1065,16900,500,UA-4391
OII,17500,200,RT-1297
H2,17600,600,RT-386
OII,18210,240,RT-1623
N,18250,220,Gd-5440
NOTK,18250,320,UCLA-1776C
OII,18360,230,RT-1244
